1111021.00,1111028.00,   1.00,   5.00, 584.00
1111028.00,1111103.00,  -1.00,   4.00,-339.00
1111103.00,1111108.00,   1.00,   3.00, 271.00
1111108.00,1111110.00,  -1.00,   2.00,-434.00
1111110.00,1111116.00,   1.00,   4.00, 291.00
1111116.00,1111125.00,  -1.00,   7.00,-841.00
1111125.00,1111130.00,   0.00,   3.00, 101.00
1111130.00,1111201.00,   1.00,   1.00, 425.00
1111201.00,1111209.00,  -1.00,   6.00,-461.00
1111209.00,1111219.00,   0.00,   6.00,-177.00
1111219.00,1111223.00,   1.00,   4.00, 511.00
1111223.00,1111230.00,   0.00,   5.00,  24.00
1111230.00,1120102.00,  -1.00,   1.00,-220.00
1120102.00,1120109.00,   0.00,   5.00,  98.00
1120109.00,1120116.00,   0.00,   5.00,  45.00
1120116.00,1120214.00,   0.00,  15.00, 736.00
1120214.00,1120221.00,   0.00,   5.00,  47.00
1120221.00,1120224.00,   0.00,   3.00,  29.00
1120224.00,1120302.00,   1.00,   3.00, 304.00
1120302.00,1120307.00,  -1.00,   4.00,-347.00
1120307.00,1120314.00,   1.00,   4.00, 348.00
1120314.00,1120320.00,  -1.00,   4.00,-236.00
1120320.00,1120323.00,   1.00,   3.00, 149.00
1120323.00,1120403.00,   0.00,   7.00,-182.00
1120403.00,1120409.00,  -1.00,   3.00,-416.00
1120409.00,1120413.00,   1.00,   4.00, 263.00
1120413.00,1120423.00,  -1.00,   6.00,-350.00
1120423.00,1120430.00,   0.00,   5.00, -21.00
1120430.00,1120504.00,   1.00,   3.00, 290.00
1120504.00,1120522.00,   0.00,  12.00,-425.00
1120522.00,1120528.00,  -1.00,   4.00,-235.00
1120528.00,1120529.00,   1.00,   1.00, 311.00
1120529.00,1120604.00,  -1.00,   4.00,-504.00
1120604.00,1120607.00,   1.00,   3.00, 314.00
1120607.00,1120608.00,  -1.00,   1.00,-200.00
1120608.00,1120618.00,   1.00,   6.00, 377.00
1120618.00,1120627.00,  -1.00,   7.00,-425.00
1120627.00,1120704.00,   1.00,   5.00, 429.00
1120704.00,1120717.00,   0.00,   9.00,-191.00
1120717.00,1120720.00,   0.00,   3.00, -97.00
1120720.00,1120725.00,  -1.00,   3.00,-264.00
1120725.00,1120814.00,   1.00,  13.00, 770.00
1120814.00,1120820.00,  -1.00,   4.00,-147.00
1120820.00,1120821.00,   1.00,   1.00, 155.00
1120821.00,1120827.00,   0.00,   4.00,  -2.00
1120827.00,1120830.00,  -1.00,   3.00,-210.00
1120830.00,1120906.00,   0.00,   5.00, -55.00
1120906.00,1120925.00,   1.00,  13.00, 524.00
1120925.00,1120928.00,   0.00,   3.00, -62.00
1120928.00,1121002.00,   0.00,   2.00,   0.00
1121002.00,1121012.00,  -1.00,   7.00,-363.00
1121012.00,1121015.00,   0.00,   1.00,   0.00
1121015.00,1121017.00,   1.00,   2.00, 123.00
1121017.00,1121026.00,  -1.00,   7.00,-418.00
1121026.00,1121101.00,   0.00,   4.00, -61.00
1121101.00,1121112.00,   1.00,   7.00, 275.00
1121112.00,1121115.00,  -1.00,   3.00,-268.00
1121115.00,1121121.00,   0.00,   4.00, -16.00
1121121.00,1121211.00,   0.00,  14.00, 559.00
1121211.00,1121213.00,   1.00,   2.00, 199.00
1121213.00,1121219.00,   0.00,   4.00, -70.00
1121219.00,1121221.00,  -1.00,   2.00,-236.00
1121221.00,1130103.00,   1.00,   8.00, 364.00
1130103.00,1130108.00,  -1.00,   3.00,-163.00
1130108.00,1130111.00,   1.00,   3.00, 194.00
1130111.00,1130117.00,  -1.00,   4.00,-285.00
1130117.00,1130123.00,   1.00,   4.00, 206.00
1130123.00,1130125.00,  -1.00,   2.00,-176.00
1130125.00,1130220.00,   1.00,  11.00, 409.00
1130220.00,1130304.00,  -1.00,   8.00,-194.00
1130304.00,1130311.00,   1.00,   5.00, 241.00
1130311.00,1130320.00,  -1.00,   7.00,-309.00
1130320.00,1130328.00,   0.00,   6.00,  61.00
1130328.00,1130403.00,   1.00,   4.00, 133.00
1130403.00,1130409.00,  -1.00,   2.00,-256.00
1130409.00,1130412.00,   1.00,   3.00, 135.00
1130412.00,1130416.00,  -1.00,   2.00,-139.00
1130416.00,1130509.00,   1.00,  16.00, 637.00
1130509.00,1130513.00,  -1.00,   2.00,-101.00
1130513.00,1130522.00,   1.00,   7.00, 220.00
1130522.00,1130524.00,  -1.00,   2.00,-303.00
1130524.00,1130529.00,   1.00,   3.00, 199.00
1130529.00,1130610.00,   0.00,   8.00,-160.00
1130610.00,1130618.00,   0.00,   5.00,-174.00
1130618.00,1130625.00,  -1.00,   5.00,-431.00
1130625.00,1130704.00,   0.00,   7.00, 222.00
1130704.00,1130715.00,   1.00,   7.00, 436.00
1130715.00,1130719.00,  -1.00,   4.00,-285.00
1130719.00,1130726.00,   1.00,   4.00, 230.00
1130726.00,1130802.00,   0.00,   5.00, -37.00
1130802.00,1130809.00,  -1.00,   5.00,-344.00
1130809.00,1130814.00,   1.00,   3.00, 158.00
1130814.00,1130822.00,  -1.00,   5.00,-323.00
1130822.00,1130828.00,   0.00,   4.00,  41.00
1130828.00,1130910.00,   1.00,   9.00, 542.00
1130910.00,1130918.00,  -1.00,   7.00, -49.00
1130918.00,1130924.00,   1.00,   2.00, 102.00
1130924.00,1130930.00,  -1.00,   4.00,-190.00
1130930.00,1131004.00,   1.00,   4.00, 310.00
1131004.00,1131011.00,   0.00,   4.00,  57.00
1131011.00,1131014.00,  -1.00,   1.00,-177.00
1131014.00,1131021.00,   1.00,   5.00, 172.00
1131021.00,1131025.00,  -1.00,   4.00,-154.00
1131025.00,1131101.00,   1.00,   5.00, 185.00
1131101.00,1131114.00,  -1.00,   9.00,-391.00
1131114.00,1131119.00,   1.00,   3.00, 171.00
1131119.00,1131121.00,  -1.00,   2.00,-194.00
1131121.00,1131205.00,   0.00,  10.00, 290.00
1131205.00,1131211.00,   1.00,   4.00, 158.00
1131211.00,1131218.00,  -1.00,   5.00,-187.00
1131218.00,1131231.00,   1.00,   9.00, 341.00
1131231.00,1140106.00,  -1.00,   3.00,-161.00
1140106.00,1140109.00,   0.00,   3.00,  11.00
1140109.00,1140114.00,   0.00,   3.00,   0.00
1140114.00,1140116.00,   1.00,   2.00, 148.00
1140116.00,1140120.00,  -1.00,   2.00, -91.00
1140120.00,1140123.00,   1.00,   3.00,  79.00
1140123.00,1140205.00,  -1.00,   3.00,-454.00
1140205.00,1140214.00,   1.00,   7.00, 372.00
1140214.00,1140220.00,  -1.00,   4.00, -85.00
1140220.00,1140303.00,   0.00,   6.00,  27.00
1140303.00,1140307.00,   1.00,   4.00, 262.00
1140307.00,1140312.00,  -1.00,   3.00,-127.00
1140312.00,1140313.00,   1.00,   1.00, 111.00
1140313.00,1140318.00,   0.00,   3.00,  -5.00
1140318.00,1140324.00,  -1.00,   4.00,-228.00
1140324.00,1140402.00,   1.00,   7.00, 365.00
1140402.00,1140407.00,  -1.00,   2.00, -85.00
1140407.00,1140410.00,   1.00,   3.00, 136.00
1140410.00,1140411.00,  -1.00,   1.00, -99.00
1140411.00,1140423.00,   1.00,   8.00, 140.00
1140423.00,1140428.00,  -1.00,   3.00,-290.00
1140428.00,1140506.00,   1.00,   5.00, 199.00
1140506.00,1140509.00,   0.00,   3.00,   0.00
1140509.00,1140512.00,  -1.00,   1.00, -99.00
1140512.00,1140516.00,   0.00,   4.00,  26.00
1140516.00,1140521.00,   0.00,   3.00,  21.00
1140521.00,1140529.00,   1.00,   6.00, 312.00
1140529.00,1140603.00,  -1.00,   2.00, -88.00
1140603.00,1140617.00,   1.00,  10.00, 187.00
1140617.00,1140618.00,  -1.00,   1.00,-119.00
1140618.00,1140625.00,   0.00,   5.00,   8.00
1140625.00,1140704.00,   1.00,   7.00, 357.00
1140704.00,1140715.00,   0.00,   7.00,  87.00
1140715.00,1140718.00,  -1.00,   3.00,-300.00
1140718.00,1140724.00,   1.00,   3.00, 189.00
1140724.00,1140808.00,  -1.00,  11.00,-479.00
1140808.00,1140814.00,   1.00,   4.00, 262.00
1140814.00,1140818.00,  -1.00,   2.00,-127.00
1140818.00,1140901.00,   1.00,  10.00, 424.00
1140901.00,1140909.00,   0.00,   5.00, -20.00
1140909.00,1140916.00,  -1.00,   5.00,-389.00
1140916.00,1140919.00,   1.00,   3.00, 163.00
1140919.00,1140925.00,   0.00,   4.00,-136.00
1140925.00,1140930.00,  -1.00,   3.00,-297.00
1140930.00,1141006.00,   1.00,   4.00, 239.00
1141006.00,1141017.00,  -1.00,   8.00,-613.00
1141017.00,1141022.00,   1.00,   3.00, 267.00
1141022.00,1141027.00,  -1.00,   3.00,-172.00
1141027.00,1141104.00,   1.00,   6.00, 463.00
1141104.00,1141107.00,  -1.00,   3.00,-193.00
1141107.00,1141111.00,   1.00,   2.00, 243.00
1141111.00,1141118.00,  -1.00,   5.00,-266.00
1141118.00,1141125.00,   0.00,   5.00, 230.00
1141125.00,1141127.00,   1.00,   2.00, 166.00
1141127.00,1141201.00,  -1.00,   2.00,-244.00
1141201.00,1141204.00,   1.00,   3.00, 275.00
1141204.00,1141217.00,  -1.00,   9.00,-413.00
1141217.00,1141230.00,   1.00,  10.00, 490.00
1141230.00,1150106.00,  -1.00,   3.00,-326.00
1150106.00,1150109.00,   1.00,   3.00, 318.00
1150109.00,1150116.00,  -1.00,   5.00,-253.00
1150116.00,1150127.00,   1.00,   7.00, 457.00
1150127.00,1150202.00,  -1.00,   4.00,-169.00
1150202.00,1150204.00,   1.00,   2.00, 186.00
1150204.00,1150209.00,  -1.00,   3.00,-140.00
1150209.00,1150225.00,   1.00,   6.00, 280.00
1150225.00,1150306.00,   0.00,   6.00, -52.00
1150306.00,1150311.00,  -1.00,   3.00,-194.00
1150311.00,1150320.00,   1.00,   7.00, 320.00
1150320.00,1150401.00,  -1.00,   8.00,-283.00
1150401.00,1150413.00,   1.00,   6.00, 196.00
1150413.00,1150420.00,  -1.00,   5.00,-177.00
1150420.00,1150428.00,   1.00,   6.00, 527.00
1150428.00,1150511.00,   0.00,   8.00,-219.00
1150511.00,1150515.00,  -1.00,   4.00,-273.00
1150515.00,1150519.00,   1.00,   2.00, 182.00
1150519.00,1150521.00,  -1.00,   2.00,-211.00
1150521.00,1150529.00,   1.00,   6.00, 253.00
1150529.00,1150609.00,  -1.00,   7.00,-564.00
1150609.00,1150617.00,   0.00,   6.00,-199.00
1150617.00,1150625.00,   1.00,   5.00, 368.00
1150625.00,1150629.00,  -1.00,   2.00,-261.00
1150629.00,1150702.00,   1.00,   3.00, 216.00
